ID,Question,CanonicalID,MergeGroup,IsCanonical,HasAnswer,Category,ProposedCategory
Q0021,Can I come to church even if I'm struggling?,Q0021,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0022,Can I ask someone to pray for me?,Q0022,,Yes,Yes,Care & Hope,Care & Hope
Q0023,Can I talk to a pastor privately?,Q0023,,Yes,Yes,Serving & Ministry,Serving & Ministry
Q0024,Can the church help me if I'm going through a difficult time?,Q0024,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0025,Do I have to attend regularly before asking for help?,Q0025,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0026,Can I bring my children with me?,Q0026,,Yes,Yes,Families & Children,Families & Children
Q0027,Is there a children's program during the service?,Q0027,,Yes,Yes,Families & Children,Families & Children
Q0028,Will my child be safe?,Q0028,,Yes,Yes,Families & Children,Families & Children
Q0029,What if my baby cries during the service?,Q0029,,Yes,Yes,Families & Children,Families & Children
Q0030,Can children stay with their parents if they don't want to join the kids' program?,Q0030,,Yes,Yes,Families & Children,Families & Children
Q0031,Can I come to church by myself?,Q0031,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0032,Will I meet people my age?,Q0032,,Yes,Yes,General,General
Q0033,How can I make friends in the church?,Q0033,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0034,Are there activities during the week?,Q0034,,Yes,Yes,General,General
Q0035,Can I get involved even if I have a busy work schedule?,Q0002,work-schedule,No,Yes,General,
Q0036,What should I expect when I visit a Christian church?,Q0036,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0037,Do I need to know anything before attending?,Q0037,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0038,Is it okay if I don't understand what's happening?,Q0038,,Yes,Yes,General,General
Q0039,Can I come even if I'm still exploring Christianity?,Q0016,non-christian-welcome,No,Yes,Finding & Visiting Church,
Q0040,Is church only for Christians?,Q0088,visitor-no-membership,No,Yes,Finding & Visiting Church,
Q0041,How can I become part of the church?,Q0041,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0042,How can I serve at the church?,Q0042,,Yes,Yes,Serving & Ministry,Serving & Ministry
Q0043,Do I need to become a member before volunteering?,Q0043,,Yes,Yes,Serving & Ministry,Serving & Ministry
Q0044,How do I join a ministry?,Q0044,,Yes,Yes,Serving & Ministry,Serving & Ministry
Q0045,Is there training for volunteers?,Q0045,,Yes,Yes,Serving & Ministry,Serving & Ministry
Q0046,Where can I find hope?,Q0046,,Yes,Yes,Care & Hope,Care & Hope
Q0047,I feel alone after moving to Bangalore.,Q0065,lonely-bangalore,No,Yes,General,
Q0048,I need someone to pray for me.,Q0048,,Yes,Yes,Care & Hope,Care & Hope
Q0049,How do I make meaningful friendships in Bangalore?,Q0066,friends-bangalore,No,Yes,General,
Q0050,How do I find purpose in life?,Q0081,purpose-gifts,No,Yes,General,
Q0051,I just moved to Bangalore and feel lonely.,Q0065,lonely-bangalore,No,Yes,Care & Hope,
Q0052,I don't want to be alone anymore.,Q0110,need-community,No,Yes,General,
Q0053,I recently moved to Bangalore for work. Can you recommend a Bible-believing church where I can grow spiritually?,Q0053,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0054,I'm staying in HSR Layout. Which church has an active young adults community?,Q0054,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0055,Which church in Bangalore has good children's ministry?,Q0055,,Yes,Yes,Families & Children,Families & Children
Q0056,I'm looking for a church that believes in the gifts of the Holy Spirit.,Q0056,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0057,Which church in Bangalore has a good children's ministry?,Q0055,kids-ministry,No,Yes,Families & Children,
Q0058,Where can my child learn Christian songs?,Q0060,child-music,No,Yes,Families & Children,
Q0059,Are there churches where children can sing in worship?,Q0059,,Yes,Yes,Families & Children,Families & Children
Q0060,Can my child learn keyboard or guitar through church?,Q0060,,Yes,Yes,Families & Children,Families & Children
Q0061,I'm looking for a church where my children can grow spiritually.,Q0126,child-faith,No,Yes,Families & Children,
Q0062,Which church helps children build confidence?,Q0062,,Yes,Yes,Families & Children,Families & Children
Q0063,Is there a church where my teenager can volunteer?,Q0063,,Yes,Yes,Families & Children,Families & Children
Q0064,Can my child participate in Christmas programs?,Q0064,,Yes,Yes,Families & Children,Families & Children
Q0065,I'm new to Bangalore and don't know anyone.,Q0065,,Yes,Yes,General,General
Q0066,How do I make genuine friends in Bangalore?,Q0066,,Yes,Yes,General,General
Q0067,I'm feeling lonely after moving for work.,Q0067,,Yes,Yes,Care & Hope,Care & Hope
Q0068,I want to meet people outside my office.,Q0068,,Yes,Yes,General,General
Q0069,Is there a church where young professionals hang out?,Q0054,young-professionals,No,Yes,Finding & Visiting Church,
Q0070,How do I find community in Bangalore?,Q0066,friends-bangalore,No,Yes,General,
Q0071,I play guitar. Can I volunteer at a church?,Q0072,worship-team,No,Yes,Serving & Ministry,
Q0072,How do I join a worship team?,Q0072,,Yes,Yes,Serving & Ministry,Serving & Ministry
Q0073,Can I teach children in church?,Q0073,,Yes,Yes,Families & Children,Families & Children
Q0074,How do I start serving in ministry?,Q0082,where-serve,No,Yes,Serving & Ministry,
Q0075,I'm a media professional. Can I volunteer at church?,Q0075,,Yes,Yes,Serving & Ministry,Serving & Ministry
Q0076,I don't feel connected at church.,Q0149,disconnected-church,No,Yes,Finding & Visiting Church,
Q0077,How do I make friends at church?,Q0111,friends-at-church,No,Yes,Finding & Visiting Church,
Q0078,Why do I feel disconnected from God?,Q0147,disconnected-god,No,Yes,General,
Q0079,How do I get more involved in church?,Q0079,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0080,I've been attending church for years but don't feel like I belong.,Q0081,purpose-gifts,No,Yes,Finding & Visiting Church,
Q0081,How do I find purpose in church?,Q0081,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0082,I want to serve but don't know where to start.,Q0082,,Yes,Yes,Serving & Ministry,Serving & Ministry
Q0083,I'm shy. Can I still volunteer?,Q0083,,Yes,Yes,Serving & Ministry,Serving & Ministry
Q0084,Can I attend church without talking to anyone?,Q0084,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0085,Can I quietly attend a church service?,Q0084,visitor-quiet,No,Yes,Finding & Visiting Church,
Q0086,I don't want to join a church yet. Can I just visit?,Q0086,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0087,Is it okay if I just sit and listen during church?,Q0084,visitor-quiet,No,Yes,Finding & Visiting Church,
Q0088,Can I attend church without becoming a member?,Q0088,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0089,Do churches force visitors to introduce themselves?,Q0089,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0090,I don't like attention. Can I still attend church?,Q0089,visitor-no-spotlight,No,Yes,Finding & Visiting Church,
Q0091,Can I leave after the service without being awkward?,Q0091,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0092,Will people keep calling me if I visit once?,Q0092,,Yes,Yes,Serving & Ministry,Serving & Ministry
Q0093,Can I just attend without joining anything?,Q0086,visitor-quiet,No,Yes,Finding & Visiting Church,
Q0094,Is it okay if I come alone?,Q0094,,Yes,Yes,General,General
Q0095,Can I come occasionally?,Q0095,,Yes,Yes,General,General
Q0096,What if I'm not ready to get involved?,Q0122,explore-own-pace,No,Yes,General,
Q0097,Is it okay if I just want to listen?,Q0084,visitor-quiet,No,Yes,General,
Q0098,Can I leave right after the service?,Q0091,visitor-leave-after,No,Yes,Finding & Visiting Church,
Q0099,Will I be contacted if I visit once?,Q0092,visitor-no-chase,No,Yes,Finding & Visiting Church,
Q0100,Can I attend for a few weeks before deciding?,Q0100,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0101,I just moved to Bangalore. How do I build a new community?,Q0101,,Yes,Yes,General,General
Q0102,I don't know anyone here. Where do I start?,Q0102,,Yes,Yes,General,General
Q0103,I'm homesick. How do I cope?,Q0103,,Yes,Yes,General,General
Q0104,How do I find Christian friends in Bangalore?,Q0111,friends-at-church,No,Yes,Finding & Visiting Church,
Q0105,How do I find a church that feels like home?,Q0105,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0106,Can I come alone if I'm new to the city?,Q0106,,Yes,Yes,General,General
Q0107,Are there people my age?,Q0107,,Yes,Yes,General,General
Q0108,Is there anything happening during the week?,Q0108,,Yes,Yes,General,General
Q0109,How do I settle into a new city?,Q0109,,Yes,Yes,General,General
Q0110,Why do I feel lonely even though I'm surrounded by people?,Q0110,,Yes,Yes,Care & Hope,Care & Hope
Q0111,How do I make meaningful friendships?,Q0111,,Yes,Yes,General,General
Q0112,I'm tired of spending weekends alone.,Q0112,,Yes,Yes,General,General
Q0113,I don't have anyone to talk to.,Q0113,,Yes,Yes,General,General
Q0114,Can church help if I'm lonely?,Q0114,,Yes,Yes,Care & Hope,Care & Hope
Q0115,Is it okay to ask someone to pray with me?,Q0115,,Yes,Yes,Care & Hope,Care & Hope
Q0116,Where do adults make genuine friends anymore?,Q0116,,Yes,Yes,General,General
Q0117,I miss having a community.,Q0110,need-community,No,Yes,General,
Q0118,I've never been to church. Where do I start?,Q0118,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0119,I'm curious about Christianity but don't know anyone Christian.,Q0119,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0120,Can I ask questions without feeling judged?,Q0120,,Yes,Yes,General,General
Q0121,Do I have to believe before I attend?,Q0016,non-christian-welcome,No,Yes,Finding & Visiting Church,
Q0122,Can I explore Christianity at my own pace?,Q0122,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0123,Is church only for religious people?,Q0123,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0124,What if I disagree with some Christian beliefs?,Q0124,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0125,Can I attend just to understand Christianity?,Q0125,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0126,I want my child to grow up with good values. Is church a good place?,Q0126,,Yes,Yes,Families & Children,Families & Children
Q0127,Can my child learn music at church?,Q0060,child-music,No,Yes,Families & Children,
Q0128,Can my child join the worship team?,Q0128,,Yes,Yes,Families & Children,Families & Children
Q0129,Will my child have opportunities to perform?,Q0129,,Yes,Yes,Families & Children,Families & Children
Q0130,How can my child build confidence?,Q0130,,Yes,Yes,Families & Children,Families & Children
Q0131,Are there activities beyond Sunday?,Q0131,,Yes,Yes,General,General
Q0132,Can teenagers get involved in serving?,Q0132,,Yes,Yes,Families & Children,Families & Children
Q0133,How do I help my child build Christian friendships?,Q0133,,Yes,Yes,Families & Children,Families & Children
Q0134,Is there mentoring for young people?,Q0134,,Yes,Yes,Serving & Ministry,Serving & Ministry
Q0135,Can my child discover their talents at church?,Q0135,,Yes,Yes,Families & Children,Families & Children
Q0136,I know how to work. I don't know how to serve.,Q0082,where-serve,No,Yes,Serving & Ministry,
Q0137,I feel like there's more to life than work.,Q0081,purpose-gifts,No,Yes,General,
Q0138,How do I discover my purpose?,Q0138,,Yes,Yes,General,General
Q0139,I have talents. Where can I use them?,Q0139,,Yes,Yes,General,General
Q0140,I play guitar. Can I serve somewhere?,Q0072,worship-team,No,Yes,Serving & Ministry,
Q0141,I'm a designer. Can I help at church?,Q0141,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0142,I'm good with technology. Can I volunteer?,Q0142,,Yes,Yes,Serving & Ministry,Serving & Ministry
Q0143,How do I know what God wants me to do?,Q0143,,Yes,Yes,General,General
Q0144,I want my weekends to mean something.,Q0144,,Yes,Yes,General,General
Q0145,Is it okay if church is the only place I feel peaceful?,Q0145,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0146,I haven't prayed in years. Can I start again?,Q0146,,Yes,Yes,Care & Hope,Care & Hope
Q0147,I feel disconnected from God. Where do I begin?,Q0147,,Yes,Yes,General,General
Q0148,I don't know how to pray anymore.,Q0146,prayer-restart,No,Yes,Care & Hope,
Q0149,I don't know anyone at church.,Q0149,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0150,I feel invisible when I attend church.,Q0150,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0151,"I don't think I'm ""good enough"" for church.",Q0021,struggling-welcome,No,Yes,Finding & Visiting Church,
Q0152,Can I come back after making mistakes?,Q0146,prayer-restart,No,Yes,General,
Q0153,What if I cry during church?,Q0021,struggling-welcome,No,Yes,Finding & Visiting Church,
Q0154,Is it okay if I don't sing during worship?,Q0015,worship-participation,No,Yes,General,
Q0155,What if I don't understand the sermon?,Q0010,community-path,No,Yes,General,
Q0156,I don't know how to read the Bible.,Q0147,disconnected-god,No,Yes,General,
Q0157,I'm afraid people will judge me.,Q0089,visitor-no-spotlight,No,Yes,General,
Q0158,I'm looking for a church where I can truly belong.,Q0105,belonging-church,No,Yes,Finding & Visiting Church,
Q0159,How do I move from simply attending church to becoming part of a community?,Q0010,community-path,No,Yes,Finding & Visiting Church,
Q0160,Is it okay to take small steps in my faith journey?,Q0122,explore-own-pace,No,Yes,General,
Q0161,How can I discover the gifts God has given me?,Q0139,gifts-discover,No,Yes,General,
Q0162,How do I know where I can serve in church?,Q0082,where-serve,No,Yes,Serving & Ministry,
Q0163,"What if I don't feel ""spiritual enough"" to get involved?",Q0082,where-serve,No,Yes,General,
Q0164,Can I grow at my own pace?,Q0122,explore-own-pace,No,Yes,General,
Q0165,How can church become more than just a Sunday routine?,Q0010,community-path,No,Yes,Finding & Visiting Church,
Q0166,I'm an atheist. Can I attend church?,Q0016,non-christian-welcome,No,Yes,Finding & Visiting Church,
Q0167,Can agnostics go to church?,Q0016,non-christian-welcome,No,Yes,Finding & Visiting Church,
Q0168,I'm not a Christian. Will I feel out of place?,Q0016,non-christian-welcome,No,Yes,Finding & Visiting Church,
Q0169,Can I attend church just to understand Christianity?,Q0119,explore-christianity,No,Yes,Finding & Visiting Church,
Q0170,Is it okay to ask difficult questions in church?,Q0120,difficult-questions,No,Yes,Finding & Visiting Church,
Q0171,Do I have to agree with everything to attend church?,Q0124,disagree-welcome,No,Yes,Serving & Ministry,
Q0172,Do churches welcome skeptics?,Q0016,non-christian-welcome,No,Yes,Finding & Visiting Church,
Q0173,Can I attend without praying or singing?,Q0084,visitor-quiet,No,Yes,Care & Hope,
Q0174,Will people expect me to convert?,Q0018,no-convert-pressure,No,Yes,General,
Q0175,Is church only for believers?,Q0018,no-convert-pressure,No,Yes,Finding & Visiting Church,
Q0176,Is Christianity intellectually defensible?,Q0176,,Yes,Yes,Finding & Visiting Church,Faith & Exploring Christianity
Q0177,Can science and Christianity coexist?,Q0177,,Yes,Yes,Finding & Visiting Church,Faith & Exploring Christianity
Q0178,Why do intelligent people believe in God?,Q0178,,Yes,Yes,General,Faith & Exploring Christianity
Q0179,Is faith the opposite of reason?,Q0179,,Yes,Yes,General,Faith & Exploring Christianity
Q0180,Can I believe in evolution and still be a Christian?,Q0180,,Yes,Yes,Finding & Visiting Church,Faith & Exploring Christianity
Q0181,What evidence is there for Jesus?,Q0181,,Yes,Yes,General,Faith & Exploring Christianity
Q0182,How reliable is the Bible?,Q0182,,Yes,Yes,General,Faith & Exploring Christianity
Q0183,Why does God allow suffering?,Q0183,,Yes,Yes,General,Faith & Exploring Christianity
Q0184,Why are there so many denominations?,Q0184,,Yes,Yes,Finding & Visiting Church,About ROLCC
Q0185,Why do Christians believe Jesus is God?,Q0185,,Yes,Yes,Finding & Visiting Church,Faith & Exploring Christianity
Q0186,"I want to believe, but I can't.",Q0147,disconnected-god,No,Yes,General,
Q0187,"I lost my faith in humanity, love, and compassion",Q0114,lost-hope,No,Yes,General,
Q0188,I don't know what I believe anymore.,Q0147,disconnected-god,No,Yes,General,
Q0189,I'm questioning Christianity.,Q0120,difficult-questions,No,Yes,Finding & Visiting Church,
Q0190,I have doubts about God.,Q0147,disconnected-god,No,Yes,General,
Q0191,Do churches offer money or gifts to convert people?,Q0018,no-convert-pressure,No,Yes,General,
Q0192,Will Christians try to argue with me?,Q0020,questions-pressure,No,Yes,Finding & Visiting Church,
Q0193,Can I simply listen?,Q0125,observe-listen,No,Yes,General,
Q0194,Can I ask difficult questions?,Q0120,difficult-questions,No,Yes,General,
Q0195,What if I don't agree with everything I hear at church?,Q0124,disagree-welcome,No,Yes,General,
Q0196,Can I come with my Christian friend?,Q0196,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0197,I'm curious about Christianity. Can I visit a church?,Q0119,explore-christianity,No,Yes,General,
Q0198,Can I visit more than once before deciding what I believe?,Q0100,how-long-decide,No,Yes,Finding & Visiting Church,
Q0199,How do I choose the right church?,Q0007,church-right-fit,No,Yes,Finding & Visiting Church,
Q0200,How many times should I visit before deciding?,Q0100,how-long-decide,No,Yes,Finding & Visiting Church,
Q0201,Can I attend different churches before choosing one?,Q0201,,Yes,No,Finding & Visiting Church,Finding & Visiting Church
Q0202,What denomination is this church?,Q0217,rolcc-identity,No,No,Finding & Visiting Church,
Q0203,Is this a Pentecostal church?,Q0217,rolcc-identity,No,No,Finding & Visiting Church,About ROLCC
Q0204,Is this an Evangelical church?,Q0203,denomination-tradition,No,No,Finding & Visiting Church,
Q0205,Is this a Charismatic church?,Q0203,denomination-tradition,No,No,Finding & Visiting Church,
Q0206,Is this a Bible-believing church?,Q0217,rolcc-identity,No,No,Finding & Visiting Church,About ROLCC
Q0207,What does this church believe?,Q0217,rolcc-identity,No,No,Finding & Visiting Church,About ROLCC
Q0208,Is this church suitable for families?,Q0208,,Yes,No,Finding & Visiting Church,About ROLCC
Q0209,Is this church suitable for young professionals?,Q0208,church-audience,No,No,Finding & Visiting Church,
Q0210,Is this church suitable for college students?,Q0208,church-audience,No,No,Finding & Visiting Church,
Q0211,What languages are spoken at the church?,Q0223,languages-services,No,No,Finding & Visiting Church,
Q0212,Do you have English services?,Q0223,languages-services,No,No,Finding & Visiting Church,
Q0213,Do you have Tamil services?,Q0223,languages-services,No,No,Finding & Visiting Church,
Q0214,Can someone help me if I speak Hindi?,Q0225,language-culture,No,No,General,
Q0215,Will I find people from my home state?,Q0225,language-culture,No,No,General,
Q0216,I'm new to Bangalore. Can this church help me settle in?,Q0462,international-relocate,No,No,Finding & Visiting Church,
Q0217,What kind of church is ROLCC?,Q0217,,Yes,No,Finding & Visiting Church,About ROLCC
Q0218,What does ROLCC believe?,Q0207,church-beliefs,No,No,General,
Q0219,What makes ROLCC different from other churches in Bangalore?,Q0217,rolcc-identity,No,No,Finding & Visiting Church,
Q0220,Is ROLCC a Pentecostal church?,Q0203,denomination-tradition,No,No,Finding & Visiting Church,
Q0221,Who usually attends ROLCC?,Q0217,rolcc-identity,No,No,Finding & Visiting Church,
Q0222,Is ROLCC a family-friendly church?,Q0208,church-audience,No,No,Finding & Visiting Church,
Q0223,What languages are spoken at ROLCC?,Q0223,,Yes,No,General,About ROLCC
Q0224,Can I attend if I don't speak English or Tamil?,Q0223,languages-services,No,No,Finding & Visiting Church,
Q0225,"Will I be able to connect with people who speak Hindi, Malayalam, Telugu, Nepali, Bengali, or other Indian languages?",Q0223,languages-services,No,No,General,Language & Culture
Q0226,I'm new to Bangalore. Will I find people from my state or language background?,Q0225,language-culture,No,No,General,
Q0227,Can I visit if I'm not a Christian?,Q0016,non-christian-welcome,No,Yes,Finding & Visiting Church,
Q0228,Can I simply attend without becoming a member?,Q0228,,Yes,No,Finding & Visiting Church,Finding & Visiting Church
Q0229,My spouse is a Christian but I'm not. Can we attend together?,Q0228,visit-no-member,No,No,Finding & Visiting Church,
Q0230,We're looking for a church as a newly married couple.,Q0230,,Yes,No,Finding & Visiting Church,Young Families & Couples
Q0231,We're moving to Bangalore after marriage. How do we find a church?,Q0230,young-couples-church,No,No,Finding & Visiting Church,
Q0232,Can couples serve together?,Q0232,,Yes,No,Serving & Ministry,Young Families & Couples
Q0233,I'm a college student. Is there a place for me?,Q0233,,Yes,No,General,Belonging & Loneliness
Q0234,Can I attend church if I'm studying in Bangalore away from home?,Q0233,student-church,No,No,Finding & Visiting Church,
Q0235,How do I make friends as a student?,Q0233,student-church,No,No,General,
Q0236,I haven't been to church in years. Can I come back?,Q0344,returning-faith,No,No,Finding & Visiting Church,
Q0237,Will I be judged if I return after a long time?,Q0344,returning-faith,No,No,General,
Q0238,I want to reconnect with God. Where do I start?,Q0345,reconnect-god,No,No,General,
Q0239,Is it okay if I don't know what to do during the service?,Q0239,,Yes,No,Finding & Visiting Church,Finding & Visiting Church
Q0240,Are there activities for college students?,Q0233,student-church,No,No,General,
Q0241,How can I help underprivileged children in Bangalore?,Q0246,child-sponsorship,No,No,Families & Children,
Q0242,How can I volunteer on weekends in Bangalore?,Q0242,,Yes,No,Serving & Ministry,Volunteering & Skills
Q0243,Where can I do meaningful charity work?,Q0243,,Yes,No,Giving & CSR,Giving & CSR
Q0244,How can I give back to society?,Q0243,charity-meaningful,No,No,General,
Q0245,Where can I volunteer with children?,Q0246,child-sponsorship,No,No,Families & Children,
Q0246,How do I support education for underprivileged children?,Q0246,,Yes,No,Families & Children,Giving & CSR
Q0247,Where can I sponsor a child's education?,Q0246,child-sponsorship,No,No,Families & Children,
Q0248,How can I make a difference in my community?,Q0243,charity-meaningful,No,No,General,
Q0249,Can our company partner with a local NGO?,Q0249,,Yes,No,Giving & CSR,Giving & CSR
Q0250,Is my donation eligible for 80G?,Q0250,,Yes,No,Giving & CSR,Giving & CSR
Q0251,How do I know where my donation is used?,Q0251,,Yes,No,Giving & CSR,Giving & CSR
Q0252,Can I sponsor a specific child?,Q0246,child-sponsorship,No,No,Families & Children,
Q0253,Can I sponsor music education?,Q0257,donate-in-kind,No,No,General,
Q0254,Can I support a family in need?,Q0257,donate-in-kind,No,No,General,
Q0255,Can I donate monthly?,Q0257,donate-in-kind,No,No,General,
Q0256,Can I volunteer instead of donating?,Q0242,volunteer-weekend,No,No,Serving & Ministry,
Q0257,Can I donate my skills instead of money?,Q0257,,Yes,No,General,Giving & CSR
Q0258,"Can I donate books, clothes or instruments?",Q0257,donate-in-kind,No,No,General,
Q0259,I'm a software engineer. How can I volunteer?,Q0259,,Yes,No,Serving & Ministry,Volunteering & Skills
Q0260,I'm a designer. Can I contribute?,Q0259,volunteer-skills,No,No,General,
Q0261,I'm a teacher. How can I help children?,Q0261,,Yes,No,Families & Children,Families & Children
Q0262,I'm a doctor. Can I volunteer?,Q0259,volunteer-skills,No,No,Serving & Ministry,
Q0263,I'm a musician. Can I teach children?,Q0263,,Yes,No,Families & Children,Families & Children
Q0264,I'm a photographer. Can I serve?,Q0259,volunteer-skills,No,No,Serving & Ministry,
Q0265,Can I mentor students?,Q0265,,Yes,No,Serving & Ministry,Serving & Ministry
Q0266,Can I teach spoken English?,Q0259,volunteer-skills,No,No,General,
Q0267,Can I teach computer skills?,Q0259,volunteer-skills,No,No,General,
Q0268,Can I help with career guidance?,Q0259,volunteer-skills,No,No,General,
Q0269,Can we volunteer together as a family?,Q0269,,Yes,No,Serving & Ministry,Volunteering & Skills
Q0270,Can my children participate in charity activities?,Q0269,family-volunteer,No,No,Families & Children,
Q0271,How do I teach my children compassion?,Q0271,,Yes,No,Families & Children,Families & Children
Q0272,Are there family volunteering opportunities?,Q0269,family-volunteer,No,No,Serving & Ministry,
Q0273,Can teenagers volunteer?,Q0269,family-volunteer,No,No,Families & Children,
Q0274,Where can I volunteer during weekends?,Q0242,volunteer-weekend,No,No,Serving & Ministry,
Q0275,Can volunteering help me grow personally?,Q0242,volunteer-weekend,No,No,Serving & Ministry,
Q0276,Do you provide volunteer certificates?,Q0242,volunteer-weekend,No,No,Serving & Ministry,
Q0277,Can I complete my social internship?,Q0242,volunteer-weekend,No,No,Serving & Ministry,
Q0278,Can I join as a student volunteer?,Q0242,volunteer-weekend,No,No,Serving & Ministry,
Q0279,Where do I belong?,Q0279,,Yes,No,General,Belonging & Loneliness
Q0280,How do I find people who genuinely care?,Q0279,belonging-core,No,No,General,
Q0281,I'm tired of feeling alone.,Q0279,belonging-core,No,No,General,
Q0282,Can church become family?,Q0279,belonging-core,No,No,Finding & Visiting Church,
Q0283,What if I'm not ready to commit?,Q0122,explore-own-pace,No,No,General,General
Q0284,Is it okay to just come and breathe?,Q0298,quiet-visit,No,No,General,General
Q0285,Can I take my faith journey one step at a time?,Q0122,explore-own-pace,No,No,General,General
Q0286,Will someone notice if I'm struggling?,Q0286,,Yes,No,General,General
Q0287,Can I come even if I don't have everything figured out?,Q0122,explore-own-pace,No,No,General,General
Q0288,I'm relocating to Bangalore. How do I find community quickly?,Q0288,,Yes,No,General,Belonging & Loneliness
Q0289,I only know my colleagues. How do I build a life outside work?,Q0288,settle-bangalore,No,No,General,
Q0290,My weekends feel empty.,Q0290,,Yes,No,General,General
Q0291,I've lived in Bangalore for years but still don't feel at home.,Q0288,settle-bangalore,No,No,General,
Q0292,How do I meet people beyond my workplace?,Q0288,settle-bangalore,No,No,General,
Q0293,Can church help me feel settled in Bangalore?,Q0288,settle-bangalore,No,No,Finding & Visiting Church,Finding & Visiting Church
Q0294,I just need a peaceful place this Sunday.,Q0298,quiet-visit,No,No,General,
Q0295,Can I attend without feeling pressured?,Q0295,,Yes,No,Finding & Visiting Church,Finding & Visiting Church
Q0296,I'm socially exhausted.,Q0298,quiet-visit,No,No,General,
Q0297,I don't want to meet lots of people today.,Q0298,quiet-visit,No,No,General,
Q0298,Can I simply worship quietly?,Q0298,,Yes,No,General,Finding & Visiting Church
